2026-05-30 21:31:45,559 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'preco_unitario', 'NUMERIC(10, 2)', 1, None, 0, 0)
2026-05-30 21:31:45,559 | DEBUG | sqlalchemy.engine.Engine | Row (3, 'id_categoria', 'INTEGER', 1, None, 0, 0)
2026-05-30 21:31:45,559 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:31:45,560 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:31:45,561 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_xinfo("veiculo")
2026-05-30 21:31:45,561 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:31:45,562 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk', 'hidden')
2026-05-30 21:31:45,562 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_veiculo', 'INTEGER', 1, None, 1, 0)
2026-05-30 21:31:45,562 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'placa', 'VARCHAR(10)', 1, None, 0, 0)
2026-05-30 21:31:45,563 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'tipo', 'VARCHAR(40)', 1, None, 0, 0)
2026-05-30 21:31:45,563 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:47:42,416 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:47:42,417 | INFO | sqlalchemy.engine.Engine | SELECT name FROM sqlite_master WHERE type='table' AND name NOT LIKE 'sqlite~_%' ESCAPE '~' ORDER BY name
2026-05-30 21:47:42,417 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:47:42,425 | DEBUG | sqlalchemy.engine.Engine | Col ('name',)
2026-05-30 21:47:42,430 | DEBUG | sqlalchemy.engine.Engine | Row ('categoria',)
2026-05-30 21:47:42,430 | DEBUG | sqlalchemy.engine.Engine | Row ('cliente',)
2026-05-30 21:47:42,430 | DEBUG | sqlalchemy.engine.Engine | Row ('endereco',)
2026-05-30 21:47:42,431 | DEBUG | sqlalchemy.engine.Engine | Row ('entrega',)
2026-05-30 21:47:42,431 | DEBUG | sqlalchemy.engine.Engine | Row ('item_pedido',)
